day,cases
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,3
10,7
11,14
12,19
13,25
14,25
15,34
16,53
17,89
18,106
19,142
20,225
21,279
22,333
23,514
24,643
25,974
26,1198
27,1594
28,1952
29,2255
30,2566
31,2990
32,3476
33,3955
34,4313
35,4663
36,5824
37,6931
38,8100
39,9212
40,10381
41,11424
42,12262
43,14083
44,16258
45,18195
46,19937
47,20992
48,22456
49,23868
50,25777
51,29019
52,31101
53,34397
54,37175
55,39197
56,40937
57,43679
58,46423
59,50298
60,54209
61,59507
62,63222
63,67367
64,73600
65,79799
66,87126
67,92665
68,97580
69,102023
70,109005
71,116413
72,126957
73,136689
74,147096
75,157251
76,163510
77,169733
78,179346
79,191040
80,205173
81,220633
82,234578
83,242344
84,256903
85,274392
86,294624
87,312761
88,334568
89,351565
90,365928
91,378840
92,395167
93,415112
94,443703
95,470593
96,502914
97,516137
98,531286
99,562963
100,589048
101,620701
102,653103
103,676893
104,694881
105,712219
106,743917
107,777707
108,806399
109,830681
110,851911
111,868705
112,893322
113,930305
114,961230
115,986750
116,1042809
117,1071666
118,1088233
119,1114728
120,1154255
121,1195288
122,1236752
123,1281636
124,1318556
125,1351439
126,1372989
127,1412669
128,1459494
129,1503895
130,1546935
131,1580502
132,1605694
133,1630061
134,1675264
